cat,value,label,next_stream,stream,strahler,topo,distance,elev_ft,area_10m2,wetland,longitude,latitude
3160,84,,91,84,3,7,18564.0034655475,5087.607,76288,1,-121.97078041224,43.2881554645791
3161,84,,91,84,3,7,18525.7191930749,5084.744,76306,1,-121.970410790667,43.2881603014313
3162,92,,94,92,3,5,13827.1699848872,5001.419,97850,1,-121.932709079779,43.2886472749161
3163,96,,97,96,4,3,12184.0833536574,4979.643,291493,1,-121.920388127449,43.2888036747429
3164,97,,99,97,4,2,11002.8343990472,4973.576,326717,1,-121.911024160859,43.2889216352799
3165,97,,99,97,4,2,11012.8343993672,4974.269,326713,1,-121.910900950527,43.2889231821921
3166,27,,66,27,1,14,22228.7553838842,5986.943,637,,-121.998253199303,43.2877025177917
3167,29,,81,29,1,11,21976.62334146,5805.334,2100,,-121.995049853893,43.2877451798185
3168,83,,84,83,3,8,19261.6990140908,5129.43,65801,,-121.977924199526,43.2879717087628
3169,83,,84,83,3,8,19251.6990137707,5129.204,65809,,-121.977800992911,43.2879733290131
3170,83,,84,83,3,8,19241.6990134507,5128.771,65810,,-121.977677786291,43.2879749491283
3171,83,,84,83,3,8,19231.6990131307,5127.924,65811,,-121.977554579663,43.2879765691085
3172,77,,84,77,2,8,19056.8461937931,5114.368,7692,1,-121.975706479451,43.2880008526038
3173,84,,91,84,3,7,19008.5619210006,5110.121,74250,1,-121.975213652475,43.2880073230702
3174,84,,91,84,3,7,18998.5619206806,5109.264,74254,1,-121.975090445714,43.2880089403491
3175,84,,91,84,3,7,18988.5619203605,5108.25,74258,1,-121.974967238947,43.2880105574929
3176,84,,91,84,3,7,18978.5619200405,5107.9,74293,1,-121.974844032173,43.2880121745018
3177,84,,91,84,3,7,18616.4298740963,5090.011,75867,,-121.971271032843,43.288059009005
3178,84,,91,84,3,7,18549.8613294712,5086.07,76298,1,-121.970654997912,43.288067072439
3179,84,,91,84,3,7,18539.8613291512,5085.775,76300,1,-121.970531790905,43.2880686847206
3180,92,,94,92,3,5,13837.1699852072,5001.419,97835,1,-121.932706929564,43.2885572696161
3181,96,,97,96,4,3,12174.0833533374,4979.643,291494,1,-121.920385995718,43.2887136692066
3182,97,,99,97,4,2,11026.9765354435,4974.269,326712,1,-121.910775622875,43.2888347232501
3183,27,,66,27,1,14,22242.8975199605,6003.242,636,,-121.998374156082,43.2876108711162
3184,29,,81,29,1,11,21990.7654775362,5819.4,2076,,-121.995170815652,43.28765353659
3185,77,,84,77,2,8,19090.9883305094,5118.6,7688,1,-121.976073884343,43.2879059938849
3186,77,,84,77,2,8,19080.9883301894,5116.753,7690,1,-121.975950677814,43.2879076121068
3187,77,,84,77,2,8,19070.9883298694,5115.298,7691,1,-121.975827471278,43.2879092301937
3188,84,,91,84,3,7,18964.4197839643,5107.9,74303,1,-121.974718612156,43.2879237868977
3189,84,,91,84,3,7,18660.5720111326,5091.443,75806,,-121.971761651867,43.2879625512902
3190,84,,91,84,3,7,18650.5720108126,5090.912,75808,,-121.971638445106,43.287964164785
3191,84,,91,84,3,7,18640.5720104926,5090.453,75811,,-121.971515238338,43.2879657781447
3192,84,,91,84,3,7,18630.5720101726,5090.011,75865,,-121.971392031563,43.2879673913693
3193,92,,94,92,3,5,13847.1699855272,5002.118,97830,1,-121.932704779355,43.2884672643171
3194,96,,97,96,4,3,12164.0833530174,4979.279,291499,1,-121.920383863993,43.2886236636712
3195,96,,97,96,4,3,12101.6569441486,4978.677,291548,,-121.919891026044,43.2886298915515
3196,97,,99,97,4,2,11254.25576333,4974.876,325259,1,-121.91286807417,43.2887184040306
3197,97,,99,97,4,2,11244.25576301,4974.876,326160,1,-121.912744864303,43.2887199529642
3198,97,,99,97,4,2,11234.25576269,4974.8,326170,1,-121.91262165443,43.2887215017627
3199,97,,99,97,4,2,11051.1186718398,4974.269,326641,1,-121.911019925499,43.2887416238518
3200,97,,99,97,4,2,11041.1186715198,4974.269,326707,1,-121.910896715537,43.2887431707593
3201,27,,66,27,1,14,22257.0396560368,6019.067,635,,-121.998495112491,43.2875192243114
3202,29,,81,29,1,11,22000.7654778562,5839.629,2070,,-121.995168571742,43.2875635325214
3203,77,,84,77,2,8,19105.1304665857,5118.916,7686,1,-121.976194875418,43.2878143710803
3204,84,,91,84,3,7,18950.277647888,5105.844,74312,1,-121.974593192508,43.2878353991545
3205,84,,91,84,3,7,18674.7141472089,5091.443,75772,,-121.971882649644,43.2878709331273
3206,92,,94,92,3,5,13857.1699858472,5002.861,97826,,-121.932702629153,43.2883772590189
3207,96,,97,96,4,3,12154.0833526974,4979.279,291510,1,-121.920381732275,43.2885336581367
3208,96,,97,96,4,3,12115.7990802248,4978.677,291531,,-121.920012104377,43.2885383292425
3209,96,,97,96,4,3,12087.5148080723,4978.677,291552,,-121.919765685747,43.2885414426376
3210,97,,99,97,4,2,11268.3978994063,4974.876,325249,1,-121.912989163402,43.2886268492867
3211,97,,99,97,4,2,11220.1136266137,4974.8,326176,1,-121.912496324661,43.2886330447414
3212,97,,99,97,4,2,11095.260808876,4974.269,326454,1,-121.911510646874,43.2886454291676
3213,97,,99,97,4,2,11085.260808556,4974.269,326578,1,-121.911387437122,43.2886469766131
3214,97,,99,97,4,2,11075.260808236,4974.269,326580,1,-121.911264227364,43.2886485239235
